"Länderarbeitskreis Energiebilanzen"
"Vollständige Energiebilanz "
"Einheit: Terajoule"
" "
Land;Jahr;Bilanzzeile;Anm;Insgesamt;"Kohle (roh)";Briketts;Koks;"Andere Steinkohlen produkte";"Kohle (roh)";Briketts;"Koks, Hartbraun kohle, andere Braunkohlen produkte";"Erdöl (roh)";Rohbenzin;"Ottokraft stoffe";"Dieselkraft stoffe";"Flugturbinen kraftstoffe";"Heizöl leicht";"Heizöl schwer";Petrolkoks;"Andere Mineralöl produkte";Flüssiggas;Raffineriegas;"Kokereigas, Stadtgas";"Gichtgas, Konvertergas";"Erdgas, Erdölgas";"Grubengas, sonstige Gase";"Klärgas, Deponiegas";Wasserkraft;Windkraft;Solarenergie;"Biomasse 1)";"Sonstige erneuerbare Energien 2)";Strom;Kernenergie;Fernwärme;"Andere Energieträger";Stand
Baden-Württemberg;2018;"Umw-Einsatz: Hochöfen, Konverter";LAK3);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.04.2022
Baden-Württemberg;2018;"Umw-Einsatz: Raffinerien";LAK3);612069.245395499;0;0;0;0;0;0;0;609067.00161333;651.339740515968;0;0;0;0;0;0;2350.90404165284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.04.2022
Baden-Württemberg;2018;"Umw-Einsatz: Sonstige Energieerzeuger";LAK3);830.79528060931;0;0;0;0;0;0;0;0;0;0;2.79618349975067;0;42.3298222274893;0;0;0;1.89257142857143;0;0;0;746.300809064358;0.0244343891402715;0;0;0;0;0;0;2.70640800000019;0;0;34.745052;21.04.2022
Baden-Württemberg;2018;"Umw-Einsatz: Insgesamt";LAK3);1160212.54706124;157266.944118449;0;0;0;0;0;214.278225583156;609067.00161333;651.339740515968;0;2.79618349975067;0;1378.05207606018;704.480034538921;959.076086430979;2350.90404165284;725.348216378396;1024.21342926104;0;0;39893.0835608309;0.0244343891402715;2679.184352741691;14186.320344;9291.42900527557;18628.3836;55320.49246702326;1.5696;9337.22666;225789.152727273;0;10741.24654400394;21.04.2022
Baden-Württemberg;2018;"Umw-Ausstoß: Kokereien";LAK3);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.04.2022
Baden-Württemberg;2018;"Umw-Ausstoß: Steinkohlen- und Braunkohlenbrikettfabriken";LAK3);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.04.2022
Baden-Württemberg;2018;"Umw-Ausstoß: Wärmekraftwerke der allgemeinen Versorgung (ohne KWK)";"LAK3), LAK2)";61775.277588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61775.277588;0;0;0;21.04.2022
Baden-Württemberg;2018;"Umw-Ausstoß: Heizkraftwerke der allgemeinen Versorgung (nur KWK)";LAK3);44346.812706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14057.943156;0;30288.86955;0;21.04.2022
Baden-Württemberg;2018;"Umw-Ausstoß: Industriewärmekraftwerke";LAK3);13026.0024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13026.0024;0;0;0;21.04.2022
Baden-Württemberg;2018;"Umw-Ausstoß: Kernkraftwerke";LAK3);74510.4204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74510.4204;0;0;0;21.04.2022
